,fechas,lluvia
297,2020-11-07 17:32:26.786451,83
298,2020-11-07 17:32:36.786451,82
299,2020-11-07 17:32:46.786451,86
300,2020-11-07 17:32:56.786451,43
301,2020-11-07 17:33:06.786451,54
302,2020-11-07 17:33:16.786451,58
303,2020-11-07 17:33:26.786451,50
304,2020-11-07 17:33:36.786451,32
305,2020-11-07 17:33:46.786451,43
306,2020-11-07 17:33:56.786451,49
307,2020-11-07 17:34:06.786451,54
308,2020-11-07 17:34:16.786451,39
309,2020-11-07 17:34:26.786451,49
310,2020-11-07 17:34:36.786451,54
311,2020-11-07 17:34:46.786451,40
312,2020-11-07 17:34:56.786451,32
313,2020-11-07 17:35:06.786451,59
314,2020-11-07 17:35:16.786451,53
315,2020-11-07 17:35:26.786451,52
316,2020-11-07 17:35:36.786451,57
317,2020-11-07 17:35:46.786451,50
318,2020-11-07 17:35:56.786451,43
319,2020-11-07 17:36:06.786451,41
320,2020-11-07 17:36:16.786451,44
321,2020-11-07 17:36:26.786451,36
322,2020-11-07 17:36:36.786451,32
323,2020-11-07 17:36:46.786451,56
324,2020-11-07 17:36:56.786451,37
325,2020-11-07 17:37:06.786451,44
326,2020-11-07 17:37:16.786451,59
327,2020-11-07 17:37:26.786451,41
328,2020-11-07 17:37:36.786451,56
329,2020-11-07 17:37:46.786451,50
330,2020-11-07 17:37:56.786451,42
331,2020-11-07 17:38:06.786451,34
332,2020-11-07 17:38:16.786451,41
333,2020-11-07 17:38:26.786451,37
334,2020-11-07 17:38:36.786451,58
335,2020-11-07 17:38:46.786451,49
336,2020-11-07 17:38:56.786451,37
337,2020-11-07 17:39:06.786451,57
338,2020-11-07 17:39:16.786451,46
339,2020-11-07 17:39:26.786451,56
340,2020-11-07 17:39:36.786451,19
341,2020-11-07 17:39:46.786451,29
342,2020-11-07 17:39:56.786451,25
343,2020-11-07 17:40:06.786451,30
344,2020-11-07 17:40:16.786451,27
345,2020-11-07 17:40:26.786451,19
346,2020-11-07 17:40:36.786451,30
347,2020-11-07 17:40:46.786451,28
348,2020-11-07 17:40:56.786451,23
349,2020-11-07 17:41:06.786451,20
350,2020-11-07 17:41:16.786451,29
351,2020-11-07 17:41:26.786451,19
352,2020-11-07 17:41:36.786451,23
353,2020-11-07 17:41:46.786451,19
354,2020-11-07 17:41:56.786451,19
355,2020-11-07 17:42:06.786451,28
356,2020-11-07 17:42:16.786451,24
357,2020-11-07 17:42:26.786451,30
358,2020-11-07 17:42:36.786451,20
359,2020-11-07 17:42:46.786451,17
360,2020-11-07 17:42:56.786451,29
361,2020-11-07 17:43:06.786451,23
362,2020-11-07 17:43:16.786451,16
363,2020-11-07 17:43:26.786451,29
364,2020-11-07 17:43:36.786451,25
365,2020-11-07 17:43:46.786451,26
366,2020-11-07 17:43:56.786451,17
367,2020-11-07 17:44:06.786451,19
368,2020-11-07 17:44:16.786451,21
369,2020-11-07 17:44:26.786451,18
370,2020-11-07 17:44:36.786451,28
371,2020-11-07 17:44:46.786451,26
372,2020-11-07 17:44:56.786451,27
373,2020-11-07 17:45:06.786451,30
374,2020-11-07 17:45:16.786451,17
375,2020-11-07 17:45:26.786451,30
376,2020-11-07 17:45:36.786451,28
377,2020-11-07 17:45:46.786451,29
378,2020-11-07 17:45:56.786451,20
379,2020-11-07 17:46:06.786451,19
380,2020-11-07 17:46:16.786451,16
381,2020-11-07 17:46:26.786451,30
382,2020-11-07 17:46:36.786451,19
383,2020-11-07 17:46:46.786451,23
384,2020-11-07 17:46:56.786451,24
385,2020-11-07 17:47:06.786451,26
386,2020-11-07 17:47:16.786451,18
387,2020-11-07 17:47:26.786451,30
388,2020-11-07 17:47:36.786451,24
389,2020-11-07 17:47:46.786451,26
390,2020-11-07 17:47:56.786451,6
391,2020-11-07 17:48:06.786451,11
392,2020-11-07 17:48:16.786451,14
393,2020-11-07 17:48:26.786451,12
394,2020-11-07 17:48:36.786451,11
395,2020-11-07 17:48:46.786451,4
396,2020-11-07 17:48:56.786451,13
397,2020-11-07 17:49:06.786451,10
398,2020-11-07 17:49:16.786451,13
399,2020-11-07 17:49:26.786451,9
400,2020-11-07 17:49:36.786451,5
401,2020-11-07 17:49:46.786451,10
402,2020-11-07 17:49:56.786451,12
403,2020-11-07 17:50:06.786451,15
404,2020-11-07 17:50:16.786451,11
405,2020-11-07 17:50:26.786451,5
406,2020-11-07 17:50:36.786451,6
407,2020-11-07 17:50:46.786451,9
408,2020-11-07 17:50:56.786451,5
409,2020-11-07 17:51:06.786451,6
410,2020-11-07 17:51:16.786451,11
411,2020-11-07 17:51:26.786451,14
412,2020-11-07 17:51:36.786451,4
413,2020-11-07 17:51:46.786451,8
414,2020-11-07 17:51:56.786451,8
415,2020-11-07 17:52:06.786451,9
416,2020-11-07 17:52:16.786451,6
417,2020-11-07 17:52:26.786451,10
418,2020-11-07 17:52:36.786451,15
419,2020-11-07 17:52:46.786451,14
420,2020-11-07 17:52:56.786451,1
421,2020-11-07 17:53:06.786451,1
422,2020-11-07 17:53:16.786451,0
423,2020-11-07 17:53:26.786451,0
424,2020-11-07 17:53:36.786451,0
425,2020-11-07 17:53:46.786451,1
426,2020-11-07 17:53:56.786451,0
427,2020-11-07 17:54:06.786451,0
428,2020-11-07 17:54:16.786451,1
429,2020-11-07 17:54:26.786451,1
